ID,Activity_ID,Description,METs
536,15,"football, competitive",8
537,15,"football, touch, flag, general",8
538,15,"football, touch, flag, light effort",4
539,15,"football or baseball, playing catch",2.5
540,15,"frisbee playing, general",3
541,15,"frisbee, ultimate",8
542,15,"golf, general",4.8
543,15,"golf, walking, carrying clubs",4.3
544,15,"golf, miniature, driving range",3
545,15,"golf, walking, pulling clubs",5.3
546,15,"golf, using power cart",3.5
547,15,"gymnastics, general",3.8
548,15,hacky sack,4
549,15,"handball, general",12
550,15,"handball, team",8
551,15,"high ropes course, multiple elements",4
552,15,hang gliding,3.5
553,15,"hockey, field",7.8
554,15,"hockey, ice, general",8
555,15,"hockey, ice, competitive",10
556,15,"horseback riding, general",5.5
557,15,"horse chores, feeding, watering, cleaning stalls, implied walking and lifting loads",4.3
558,15,"saddling, cleaning, grooming, harnessing and unharnessing horse",4.5
559,15,"horseback riding, trotting",5.8
560,15,"horseback riding, canter or gallop",7.3
561,15,"horseback riding,walking",3.8
562,15,"horseback riding, jumping",9
563,15,"horse cart, driving, standing or sitting",1.8
564,15,"horseshoe pitching, quoits",3
565,15,jai alai,12
566,15,"martial arts, different types, slower pace, novice performers, practice",5.3
567,15,"martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing)",10.3
568,15,juggling,4
569,15,kickball,7
570,15,lacrosse,8
571,15,"lawn bowling, bocce ball, outdoor",3.3
572,15,"moto-cross, off-road motor sports, all-terrain vehicle, general",4
573,15,orienteering,9
574,15,"paddleball, competitive",10
575,15,"paddleball, casual, general",6
576,15,"polo, on horseback",8
577,15,"racquetball, competitive",10
578,15,"racquetball, general",7
579,15,rock or mountain climbing,8
580,15,"rock climbing, ascending rock, high difficulty",7.5
581,15,"rock climbing, ascending or traversing rock, low-to-moderate difficulty",5.8
582,15,"rock climbing, rappelling",5
583,15,"rodeo sports, general, light effort",4
584,15,"rodeo sports, general, moderate effort",5.5
585,15,"rodeo sports, general, vigorous effort",7
586,15,"rope jumping, fast pace, 120-160 skips/min",12.3
587,15,"rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce",11.8
588,15,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",8.8
589,15,"rugby, union, team, competitive",8.3
590,15,"rugby, touch, non-competitive",6.3
591,15,shuffleboard,3
592,15,"skateboarding, general, moderate effort",5
593,15,"skateboarding, competitive, vigorous effort",6
594,15,"skating, roller",7
595,15,"rollerblading, in-line skating, 14.4 km/h recreational pace",7.5
596,15,"rollerblading, in-line skating, 17.7 km/h moderate pace, exercise training",9.8
597,15,"rollerblading, in-line skating, 21.0 to 21.7 km/h , fast pace, exercise training",12.3
598,15,"rollerblading, in-line skating, 24.0 km/h, maximal effort",14
599,15,"skydiving, base jumping, bungee jumping",3.5
600,15,"soccer, competitive",10
601,15,"soccer, casual, general",7
602,15,"softball or baseball, fast or slow pitch, general",5
603,15,"softball, practice",4
604,15,"softball, officiating",4
605,15,"softball, pitching",6
606,15,"sports spectator, very excited, emotional, physically moving",3.3
607,15,squash,12
608,15,"squash, general",7.3
609,15,"table tennis, ping pong",4
610,15,"tai chi, qi gong, general",3
611,15,"tai chi, qi gong, sitting, light effort",1.5
612,15,"tennis, general",7.3
613,15,"tennis, doubles",6
614,15,"tennis, doubles",4.5
615,15,"tennis, singles",8
616,15,"tennis, hitting balls, non-game play, moderate effort",5
617,15,"trampoline, recreational",3.5
618,15,"trampoline, competitive",4.5
619,15,volleyball,4
620,15,"volleyball, competitive, in gymnasium",6
621,15,"volleyball, non-competitive, 6 – 9 member team, general",3
622,15,"volleyball, beach, in sand",8
623,15,wrestling (one match = 5 minutes),6
624,15,"wallyball, general",7
625,15,"track and field (e.g., shot, discus, hammer throw)",4
626,15,"track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",6
627,15,"track and field (e.g., steeplechase, hurdles)",10
628,16,automobile or light truck (not a semi) driving,2.5
629,16,riding in a car or truck,1.3
630,16,riding in a bus or train,1.3
631,16,flying airplane or helicopter,1.8
632,16,"motor scooter, motorcycle",3.5
633,16,pulling rickshaw,6.3
634,16,pushing plane in and out of hangar,6
635,16,"truck, semi, tractor, > 1 ton, or bus, driving",2.5
636,16,"walking for transportation, 3.7-5.12 kmh, level, moderate pace, firm surface",3.5
637,17,backpacking,7
638,17,"backpacking, hiking or organized walking with a daypack",7.8
639,17,"carrying 6.8 kg load (e.g. suitcase), level ground or downstairs",5
640,17,"carrying 6.8 kg child, slow walking",2.3
641,17,"carrying load upstairs, general",8.3
642,17,"carrying 0.5 to 6.8 kg load, upstairs",5
643,17,"carrying 7.2 to 10.88 kg load, upstairs",6
644,17,"carrying 11 to 22 kg load, upstairs",8
645,17,"carrying 23 to 33.56 kg load, upstairs",10
646,17,"carrying > 34 kg load, upstairs",12
647,17,"loading /unloading a car, implied walking",3.5
648,17,"climbing hills, no load",6.3
649,17,climbing hills with 0 to 4 kg load,6.5
650,17,climbing hills with 4.5 to 9 kg load,7.3
651,17,climbing hills with 9.5 to 19 kg load,8.3
652,17,climbing hills with 20+ kg load,9
653,17,descending stairs,3.5
654,17,"hiking, cross country",6
655,17,hiking or walking at a normal pace through fields and hillsides,5.3
656,17,"bird watching, slow walk",2.5
657,17,"marching, moderate speed, military, no pack",4.5
658,17,"marching rapidly, military, no pack",8
659,17,"pushing or pulling stroller with child or walking with children, 4 to 4.8 kmh",4
660,17,"pushing a wheelchair, non-occupational",3.8
661,17,race walking,6.5
662,17,"stair climbing, using or climbing up ladder",8
663,17,"stair climbing, slow pace",4
664,17,"stair climbing, fast pace",8.8
665,17,using crutches,5
666,17,"walking, household",2
667,17,"walking, less than 3.2 kmh, level, strolling, very slow",2
668,17,"walking, 3.2 kmh, level, slow pace, firm surface",2.8
669,17,walking for pleasure,3.5
670,17,"walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite",2.5
671,17,walking to neighbor’s house or family’s house for social reasons,2.5
672,17,walking the dog,3
673,17,"walking, 4 kmh, level, firm surface",3
674,17,"walking, 4 kmh, downhill",3.3
675,17,"walking, 4.5 to 5.1 kmh, level, moderate pace, firm surface",3.5
676,17,"walking, 5.6 kmh, level, brisk, firm surface, walking for exercise",4.3
677,17,"walking, 4.6 to 5.6 kmh, uphill, 1 to 5% grade",5.3
678,17,"walking, 4.5 to 5.6 kmh, uphill, 6% to 15% grade",8
679,17,"walking, 6.4 kmh, level, firm surface, very brisk pace",5
680,17,"walking, 7.2 kmh, level, firm surface, very, very brisk",7
681,17,"walking, 8 kmh, level, firm surface",8.3
682,17,"walking, 8 kmh, uphill, 3% grade",9.8
683,17,"walking, for pleasure, work break",3.5
684,17,"walking, grass track",4.8
685,17,"walking, normal pace, plowed field or sand",4.5
686,17,"walking, to work or class",4
687,17,"walking, to and from an outhouse",2.5
688,17,"walking, for exercise, 5.6 to 6.4 kmh, with ski poles, Nordic walking, level, moderate pace",4.8
689,17,"walking, for exercise, 8 kmh, with ski poles, Nordic walking, level, fast pace",9.5
690,17,"walking, for exercise, with ski poles, Nordic walking, uphill",6.8
691,17,"walking, backwards, 5.6 kmh, level",6
692,17,"walking, backwards, 5.6 kmh, uphill, 5% grade",8
693,18,"boating, power, driving",2.5
694,18,"boating, power, passenger, light",1.3
695,18,"canoeing, on camping trip",4
696,18,"canoeing, harvesting wild rice, knocking rice off the stalks",3.3
697,18,"canoeing, portaging",7
698,18,"canoeing, rowing, 3.2-6.4 kmh, light effort",2.8
699,18,"canoeing, rowing, 6.4-9.6 kmh, moderate effort",5.8
700,18,"canoeing, rowing, kayaking, competition, >9.6 kmh, vigorous effort",12.5
701,18,"canoeing, rowing, for pleasure, general",3.5
702,18,"canoeing, rowing, in competition, or crew or sculling",12
703,18,"diving, springboard or platform",3
704,18,"kayaking, moderate effort",5
705,18,paddle boat,4
706,18,"sailing, boat and board sailing, windsurfing, ice sailing, general",3
707,18,"sailing, in competition",4.5
708,18,"sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",3.3
709,18,"skiing, water or wakeboarding",6
710,18,"jet skiing, driving, in water",7
711,18,"skindiving, fast",15.8
712,18,"skindiving, moderate",11.8
713,18,"skindiving, scuba diving, general",7
714,18,snorkeling,5
715,18,"surfing, body or board, general",3
716,18,"surfing, body or board, competitive",5
717,18,"paddle boarding, standing",6
718,18,"swimming laps, freestyle, fast, vigorous effort",9.8
719,18,"swimming laps, freestyle, front crawl, slow, light or moderate effort",5.8
720,18,"swimming, backstroke, general, training or competition",9.5
721,18,"swimming, backstroke, recreational",4.8
722,18,"swimming, breaststroke, general, training or competition",10.3
723,18,"swimming, breaststroke, recreational",5.3
724,18,"swimming, butterfly, general",13.8
725,18,"swimming, crawl, fast speed, ~75 yards/minute, vigorous effort",10
726,18,"swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",8.3
727,18,"swimming, lake, ocean, river",6
728,18,"swimming, leisurely, not lap swimming, general",6
729,18,"swimming, sidestroke, general",7
730,18,"swimming, synchronized",8
731,18,"swimming, treading water, fast, vigorous effort",9.8
732,18,"swimming, treading water, moderate effort, general",3.5
733,18,"tubing, floating on a river, general",2.3
734,18,"water aerobics, water calisthenics",5.5
735,18,water polo,10
736,18,water volleyball,3
737,18,water jogging,9.8
738,18,"water walking, light effort, slow pace",2.5
739,18,"water walking, moderate effort, moderate pace",4.5
740,18,"water walking, vigorous effort, brisk pace",6.8
741,18,"whitewater rafting, kayaking, or canoeing",5
742,18,"windsurfing, not pumping for speed",5
743,18,"windsurfing or kitesurfing, crossing trial",11
744,18,"windsurfing, competition, pumping for speed",13.5
745,19,"dog sledding, mushing",7.5
746,19,"dog sledding, passenger",2.5
747,19,"moving ice house, set up/drill holes",6
748,19,"ice fishing, sitting",2
749,19,"skating, ice dancing",14
750,19,"skating, ice, 14.5 kmh or less",5.5
751,19,"skating, ice, general",7
752,19,"skating, ice, rapidly, more than 14.5 kmh, not competitive",9
753,19,"skating, speed, competitive",13.3
754,19,"ski jumping, climb up carrying skis",7
755,19,"skiing, general",7
756,19,"skiing, cross country, 4 kmh, slow or light effort, ski walking",6.8
757,19,"skiing, cross country, 6.4-8 kmh, moderate speed and effort, general",9
758,19,"skiing, cross country, 8-12.8 kmh, brisk speed, vigorous effort",12.5
759,19,"skiing, cross country, >12.8 kmh, elite skier, racing",15
760,19,"skiing, cross country, hard snow, uphill, maximum, snow mountaineering",15.5
761,19,"skiing, cross-country, skating",13.3
762,19,"skiing, cross-country, biathlon, skating technique",13.5
763,19,"skiing, downhill, alpine or snowboarding, light effort, active time only",4.3
764,19,"skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",5.3
765,19,"skiing, downhill, vigorous effort, racing",8
766,19,"skiing, roller, elite racers",12.5
767,19,"sledding, tobogganing, bobsledding, luge",7
768,19,"snow shoeing, moderate effort",5.3
769,19,"snow shoeing, vigorous effort",10
770,19,"snowmobiling, driving, moderate",3.5
771,19,"snowmobiling, passenger",2
772,19,"snow shoveling, by hand, moderate effort",5.3
773,19,"snow shoveling, by hand, vigorous effort",7.5
774,19,"snow blower, walking and pushing",2.5
775,11,"sitting in church, in service, attending a ceremony, sitting quietly",1.3
776,11,"sitting, playing an instrument at church",2
777,11,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",1.8
778,11,"sitting, reading religious materials at home",1.3
779,11,"standing quietly in church, attending a ceremony",1.3
780,11,"standing, singing in church, attending a ceremony, standing, active participation",2
781,11,"kneeling in church or at home, praying",1.3
782,11,"standing, talking in church",1.8
783,11,walking in church,2
784,11,"walking, less than 3.2 kmh, very slow",2
785,11,"walking, 4.8 kmh, moderate speed, not carrying anything",3.5
786,11,"walking, 5.6 kmh, brisk speed, not carrying anything",4.3
787,11,"walk/stand combination for religious purposes, usher",2
788,11,"praise with dance or run, spiritual dancing in church",5
789,11,serving food at church,2.5
790,11,preparing food at church,2
791,11,"washing dishes, cleaning kitchen at church",3.3
792,11,eating at church,1.5
793,11,"eating/talking at church or standing eating, American Indian Feast days",2
794,11,cleaning church,3.3
795,11,general yard work at church,4
796,11,"standing, moderate effort (e.g., lifting heavy objects, assembling at fast rate)",3.5
797,11,"Standing, moderate-to-heavy effort, manual labor, lifting 23 kg, heavy maintenance",4.5
798,11,"typing, electric, manual, or computer",1.3
799,16,"sitting, meeting, general, and/or with talking involved",1.5
800,16,"sitting, light office work, in general",1.5
801,16,"sitting, moderate work",2.5
802,16,"standing, light work (filing, talking, assembling)",2.3
803,16,"sitting, child care, only active periods",2
804,16,"standing, child care, only active periods",3
805,16,"walk/run play with children, moderate, only active periods",3.5
806,16,"walk/run play with children, vigorous, only active periods",5.8
807,16,"standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)",3
808,16,"standing, moderate (lifting 23 kg., assembling at fast rate)",3.5
809,16,"standing, moderate/heavy work",4.5
810,16,"typing, electric, manual, or computer",1.3
811,16,"walking, less than 3.2 kmh, very slow",2
812,16,"walking, 4.8 kmh, moderate speed, not carrying anything",3.5
813,16,"walking, 5.6 kmh, brisk speed, not carrying anything",4.3
814,16,"walking, 4 kmh slowly and carrying objects less than 11 kg",3.5
815,16,"walking, 4.8 kmh moderately and carrying objects less than 11 kg, pushing something",4.5
816,16,"walking, 4.8 kmh, briskly and carrying objects less than 11 kg",4.8
817,16,"walk/stand combination, for volunteer purposes",3
