Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Coffee & Tea,Skinny Latte (Any Flavour),Tall Nonfat Milk,100,0.2,14,5,125,13,9,75
Starbucks,Coffee & Tea,Skinny Latte (Any Flavour),Grande Nonfat Milk,120,0.3,18,5,160,16,12,150
Starbucks,Coffee & Tea,Skinny Latte (Any Flavour),Venti Nonfat Milk,160,0.3,24,10,200,21,15,150
Starbucks,Coffee & Tea,Caramel Macchiato,Short Nonfat Milk,100,1,17,5,70,15,6,75
Starbucks,Coffee & Tea,Caramel Macchiato,2% Milk,120,4,16,15,80,15,5,75
Starbucks,Coffee & Tea,Caramel Macchiato,Soymilk,100,3,14,0,60,11,4,75
Starbucks,Coffee & Tea,Caramel Macchiato,Tall Nonfat Milk,140,1,25,5,105,24,8,75
Starbucks,Coffee & Tea,Caramel Macchiato,2% Milk,180,5,25,20,115,23,8,75
Starbucks,Coffee & Tea,Caramel Macchiato,Soymilk,150,4.5,21,0,90,17,7,75
Starbucks,Coffee & Tea,Caramel Macchiato,Grande Nonfat Milk,190,1,35,10,130,32,11,150
Starbucks,Coffee & Tea,Caramel Macchiato,2% Milk,240,7,34,25,150,32,10,150
Starbucks,Coffee & Tea,Caramel Macchiato,Soymilk,200,5,29,5,115,24,9,150
Starbucks,Coffee & Tea,Caramel Macchiato,Venti Nonfat Milk,240,1,43,10,170,41,13,150
Starbucks,Coffee & Tea,Caramel Macchiato,2% Milk,300,8,43,35,180,40,13,150
Starbucks,Coffee & Tea,Caramel Macchiato,Soymilk,250,7,36,5,140,31,11,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,180,3,31,5,120,29,7,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),2% Milk,200,6,31,15,125,29,7,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Soymilk,180,5,28,0,110,25,6,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270,4.5,47,5,190,45,12,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),2% Milk,310,9,46,20,200,44,11,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Soymilk,280,8,42,0,170,39,10,75
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,6,61,10,240,58,15,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),2% Milk,400,11,61,25,250,58,15,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Soymilk,370,10,56,0,220,51,13,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450,7,78,10,310,74,19,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),2% Milk,510,15,77,35,330,74,19,150
Starbucks,Coffee & Tea,White Chocolate Mocha (Without Whipped Cream),Soymilk,460,13,70,5,290,64,16,150
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130,1.5,26,5,70,23,7,10
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),2% Milk,150,4.5,26,15,80,22,7,10
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Soymilk,130,3.5,23,0,60,18,6,10
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,190,2,37,5,110,32,11,20
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),2% Milk,230,7,37,20,120,32,10,20
Starbucks,Coffee & Tea,Hot Chocolate (Without Whipped Cream),Soymilk,200,6,32,0,95,25,9,20
