Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
McDonald's,Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,284 g,750,38,90,1720,65,16,36
McDonald's,Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,270 g,590,25,110,1560,51,14,40
McDonald's,Chicken & Fish,Southern Style Crispy Chicken Sandwich,160 g,430,19,45,910,43,7,21
McDonald's,Chicken & Fish,McChicken,143 g,360,16,35,800,40,5,14
McDonald's,Chicken & Fish,Bacon Cheddar McChicken,171 g,480,24,65,1260,43,6,22
McDonald's,Chicken & Fish,Bacon Buffalo Ranch McChicken,161 g,430,21,50,1260,41,6,20
McDonald's,Chicken & Fish,Buffalo Ranch McChicken,148 g,360,16,35,990,40,5,14
McDonald's,Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),316 g,630,32,80,1540,56,7,32
McDonald's,Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),302 g,480,19,95,1370,42,6,36
McDonald's,Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),310 g,610,31,65,1340,56,8,27
McDonald's,Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),297 g,450,18,80,1170,42,6,30
McDonald's,Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),314 g,670,33,60,1480,68,12,27
McDonald's,Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),318 g,520,20,80,1320,55,10,31
McDonald's,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),304 g,540,23,50,1260,61,14,23
McDonald's,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),291 g,380,10,65,1090,47,12,27
McDonald's,Chicken & Fish,Chicken McNuggets (4 piece),65 g,190,12,25,360,12,0,9
McDonald's,Chicken & Fish,Chicken McNuggets (6 piece),97 g,280,18,40,540,18,0,13
McDonald's,Chicken & Fish,Chicken McNuggets (10 piece),162 g,470,30,65,900,30,0,22
McDonald's,Chicken & Fish,Chicken McNuggets (20 piece),323 g,940,59,135,1800,59,0,44
McDonald's,Chicken & Fish,Chicken McNuggets (40 piece),646 g,1880,118,265,3600,118,1,87
McDonald's,Chicken & Fish,Filet-O-Fish,142 g,390,19,40,590,39,5,15
McDonald's,Salads,Premium Bacon Ranch Salad (without Chicken),223 g,140,7,25,300,10,4,9
McDonald's,Salads,Premium Bacon Ranch Salad with Crispy Chicken,255 g,380,21,70,860,22,5,25
McDonald's,Salads,Premium Bacon Ranch Salad with Grilled Chicken,241 g,220,8,85,690,8,4,29
McDonald's,Salads,Premium Southwest Salad (without Chicken),230 g,140,4.5,10,150,20,6,6
McDonald's,Salads,Premium Southwest Salad with Crispy Chicken,348 g,450,22,50,850,42,12,23
McDonald's,Salads,Premium Southwest Salad with Grilled Chicken,335 g,290,8,70,680,28,10,27
McDonald's,Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),130 g,340,15,30,780,37,8,14
McDonald's,Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),123 g,260,8,40,700,30,7,16
McDonald's,Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),123 g,330,15,35,730,34,3,14
