"Activity, Exercise or Sport (1 hour)",Intensitiveness,60kg,70kg,81kg,92kg
Skateboarding,NONE,295,352,409,465
Ski machine,NONE,413,493,572,651
Ski mobiling,NONE,413,493,572,651
Skiing,NONE,354,422,490,558
Skin diving,Fast,944,1126,1308,1489
Skin diving,Moderate,738,880,1022,1163
Skin diving,Scuba Diving,413,493,572,651
Sky diving,NONE,177,211,245,279
Sledding,NONE,413,493,572,651
Snorkeling,NONE,295,352,409,465
Snow blower,Walking,207,246,286,326
Snow blower,Riding,177,211,245,279
Snow shoeing,NONE,472,563,654,745
Snow skiing,Light,295,352,409,465
Snow skiing,Moderate,354,422,490,558
Snow skiing,Racing,472,563,654,745
Snowmobiling,NONE,207,246,286,326
Soccer,Competitive,590,704,817,931
Softball,NONE,295,352,409,465
Softball,Officiating,236,281,327,372
Softball,Pitching,354,422,490,558
Speed skating,Competitive,885,1056,1226,1396
Squash,NONE,708,844,981,1117
Stair machine,NONE,531,633,735,838
Stationary cycling,Very Light,177,211,245,279
Stationary cycling,Light,325,387,449,512
Stationary cycling,Moderate,413,493,572,651
Stationary cycling,Vigorous,620,739,858,977
Stationary cycling,Very Vigorous,738,880,1022,1163
Stretching,Yoga,236,281,327,372
"Surfing, body surfing or board surfing",NONE,177,211,245,279
Swimming,Not Laps,354,422,490,558
Swimming,Sidestroke,472,563,654,745
Swimming,Treading water Vigorous,590,704,817,931
Swimming,Treading water Moderate,236,281,327,372
Swimming ,Synchronized,472,563,654,745
Swimming backstroke,Backstroke,413,493,572,651
Swimming breaststroke,Breaststroke,590,704,817,931
Swimming butterfly,Butterfly,649,774,899,1024
Swimming laps,Freestyle Fast,590,704,817,931
Swimming laps,Freestyle Slow,413,493,572,651
Table tennis,NONE,236,281,327,372
Tai chi,NONE,236,281,327,372
Taking out trash,NONE,177,211,245,279
Tennis,Casual,413,493,572,651
Tennis,Doubles,354,422,490,558
Tennis,Singles,472,563,654,745
Touch,Competitive,531,633,735,838
Touch,General,472,563,654,745
Track and field,Hurdles,590,704,817,931
Track and field ,Shot / Discus,236,281,327,372
Track and field ,High Jump / Pole Vault,354,422,490,558
Trampoline,NONE,207,246,286,326
Unicycling,NONE,295,352,409,465
Volleyball,Competitive,472,563,654,745
Volleyball,Casual,177,211,245,279
Volleyball,Beach,472,563,654,745
Walking,NONE,236,281,327,372
"Walking 2.0 mph, slow",3kmh,148,176,204,233
"Walking 3.0 mph, moderate",4.8kmh,195,232,270,307
"Walking 4.0 mph, very brisk",6.4kmh,295,352,409,465
Walking 5.0 mph,8kmh,472,563,654,745
Walking downstairs,NONE,177,211,245,279
Walking the dog,NONE,177,211,245,279
Walking using crutches,NONE,295,352,409,465
"Walking, under 2.0 mph, very slow",<3kmh,118,141,163,186
Wallyball,NONE,413,493,572,651
Water aerobics,NONE,236,281,327,372
Water aerobics,NONE,236,281,327,372
Water jogging,NONE,472,563,654,745
Water polo,NONE,590,704,817,931
Water volleyball,NONE,177,211,245,279
Watering lawn ,NONE,89,106,123,140
Weeding,NONE,266,317,368,419
Weight lifting,Vigorous,354,422,490,558
Weight lifting,Light Workout,177,211,245,279
Whitewater rafting,NONE,295,352,409,465
Windsurfing,NONE,177,211,245,279
Wrestling,NONE,354,422,490,558
